,Brand,Model_Name,Model_Number,Original_Price,Offered_Price,Discount,Rating,Rating_Count,Sim_Size,Sim_Type,Tech_Category,Touch_Screen,Display_Size,PCam_Avl,Primary_Camera,SCam_avl,Secondary_Camera,Int_Memory,RAM,Expandable_Memory,Memory_Card_Type,Memory_Card_Slot,Battery
364,Kechaoda,K115,K115,934,934,,4.1,"16,531 Ratings & 1,484 Reviews",Micro SIM,Dual Sim,Feature Phones,No,3.66 cm (1.44 inch),Yes,0.3MP Rear Camera,,,32 MB,32 MB,,,Dedicated Slot,850 mAh
365,Kechaoda,K115,K115,960,949,1% off,4.1,"16,531 Ratings & 1,484 Reviews",,Dual Sim,Feature Phones,No,3.66 cm (1.44 inch),,0.3MP Rear Camera,,,32 MB,32 MB,,,Dedicated Slot,850 mAh
366,Kechaoda,K115,K115,934,934,2% off,4.1,"16,531 Ratings & 1,484 Reviews",Micro SIM,Dual Sim,Feature Phones,No,3.66 cm (1.44 inch),Yes,0.3MP Rear Camera,,,32 MB,32 MB,,,Dedicated Slot,850 mAh
367,Kechaoda,K115,K115,970,938,3% off,4.1,"16,531 Ratings & 1,484 Reviews",Micro SIM,Dual Sim,Feature Phones,No,3.66 cm (1.44 inch),Yes,0.3MP Rear Camera,,,32 MB,32 MB,,,Dedicated Slot,850 mAh
368,Karbonn,KX3,KX3,949,949,,3.9,"3,083 Ratings & 252 Reviews",,Dual Sim,Feature Phones,No,4.57 cm (1.8 inch),Yes,0.3MP Rear Camera,,,32 MB,32 MB,32 GB,microSD,Dedicated Slot,800 mAh
369,Vivo,V20,V2025,"30,990","27,990",9% off,4.3,"15,647 Ratings & 1,869 Reviews",Nano,Dual Sim,Smartphones,Yes,16.36 cm (6.44 inch),Yes,64MP + 8MP + 2MP,Yes,44MP Front Camera,256 GB,8 GB,1 TB,microSD,Dedicated Slot,4000 mAh
370,Micromax,X381,X381,"1,499",915,38% off,4,521 Ratings & 38 Reviews,,Dual Sim,Feature Phones,No,4.5 cm (1.77 inch),,0.3MP Rear Camera,,,32 MB,32 MB,,,Dedicated Slot,800 mAh
371,OPPO,A53,CPH2127,"17,990","15,490",13% off,4.2,"2,385 Ratings & 173 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,13MP + 2MP + 2MP,Yes,16MP Front Camera,128 GB,6 GB,256 GB,microSD,Dedicated Slot,5000 mAh
372,OPPO,A53,CPH2127,"15,990","12,990",18% off,4.3,"11,895 Ratings & 912 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,13MP + 2MP + 2MP,Yes,16MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,5000 mAh
373,OPPO,A53,CPH2127,"15,990","12,990",18% off,4.3,"11,895 Ratings & 912 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,13MP + 2MP + 2MP,Yes,16MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,5000 mAh
374,Lava,A9,Lava A9,"1,849","1,519",17% off,4.1,"1,337 Ratings & 149 Reviews",Micro,Dual Sim,Feature Phones,No,7.11 cm (2.8 inch),Yes,1.3MP Rear Camera,No,,32 MB,24 MB,32 GB,microSD,Dedicated Slot,1700 mAh
375,Realme,6 Pro,RBS0626IN,"17,999","17,999",,4.4,"55,283 Ratings & 6,105 Reviews",Nano SIM,Dual Sim,Smartphones,Yes,16.76 cm (6.6 inch),Yes,64MP + 12MP + 8MP + 2MP,Yes,16MP + 8MP Dual Front Camera,64 GB,6 GB,256 GB,microSD,Dedicated Slot,4300 mAh
376,Lava,A9,Lava A9,"1,849","1,519",17% off,4.1,"1,337 Ratings & 149 Reviews",Micro,Dual Sim,Feature Phones,No,7.11 cm (2.8 inch),Yes,1.3MP Rear Camera,No,,32 MB,24 MB,32 GB,microSD,Dedicated Slot,1700 mAh
377,Lava,A9,Lava A9,"1,849","1,519",17% off,4.1,"1,337 Ratings & 149 Reviews",Micro,Dual Sim,Feature Phones,No,7.11 cm (2.8 inch),Yes,1.3MP Rear Camera,No,,32 MB,24 MB,32 GB,microSD,Dedicated Slot,1700 mAh
378,Lava,A1 super,A1 Buzz,999,999,,4,855 Ratings & 77 Reviews,,Dual Sim,Feature Phones,No,4.57 cm (1.8 inch),Yes,0.3MP Rear Camera,No,,32 MB,32 MB,32 GB,,Dedicated Slot,800 mAh
379,Lava,A1 super,A1 Buzz,999,999,,4.1,999 Ratings & 80 Reviews,Full Size SIM,Dual Sim,Feature Phones,No,4.57 cm (1.8 inch),Yes,0.3MP Rear Camera,No,,3 MB,4 MB,32 GB,,Dedicated Slot,800 mAh
380,Redmi,Note 8 Pro,MZB8312IN,"19,999","18,999",5% off,4.4,"11,179 Ratings & 984 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,64MP + 8MP + 2MP + 2MP,Yes,20MP Front Camera,128 GB,8 GB,512 GB,microSD,Dedicated Slot,4500 mAh
381,OPPO,F15,CPH2001,"20,990","15,990",23% off,4.4,"24,473 Ratings & 2,240 Reviews",Dual Nano SIM,Dual Sim,Smartphones,Yes,16.26 cm (6.4 inch),Yes,48MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,128 GB,4 GB,256 GB,microSD,Dedicated Slot,4000 mAh
382,OPPO,A33,CPH2137,"12,990","10,990",15% off,4.2,220 Ratings & 14 Reviews,Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,13MP + 2MP + 2MP,Yes,8MP Front Camera,32 GB,3 GB,256 GB,microSD,Dedicated Slot,5000 mAh
383,OPPO,F15,CPH2001,"22,990","22,990",,4.4,"19,920 Ratings & 1,751 Reviews",Dual Nano SIM,Dual Sim,Smartphones,Yes,16.26 cm (6.4 inch),Yes,48MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,128 GB,8 GB,256 GB,microSD,Dedicated Slot,4000 mAh
384,Vivo,V20,V2025,"27,990","24,990",10% off,4.3,"15,647 Ratings & 1,869 Reviews",Nano,Dual Sim,Smartphones,Yes,16.36 cm (6.44 inch),Yes,64MP + 8MP + 2MP,Yes,44MP Front Camera,128 GB,8 GB,1 TB,microSD,Dedicated Slot,4000 mAh
385,Vivo,V20,V2025,"27,990","24,990",10% off,4.3,"15,647 Ratings & 1,869 Reviews",Nano,Dual Sim,Smartphones,Yes,16.36 cm (6.44 inch),Yes,64MP + 8MP + 2MP,Yes,44MP Front Camera,128 GB,8 GB,1 TB,microSD,Dedicated Slot,4000 mAh
386,MarQ,M24 Armor,4501,"1,799",999,44% off,3.8,"1,225 Ratings & 182 Reviews",Standard,Dual Sim,Feature Phones,No,6.1 cm (2.4 inch),Yes,2MP Rear Camera,No,,32 MB,32 MB,32 GB,microSD,Dedicated Slot,2500 mAh
387,Vivo,V20,V2025,"30,990","27,990",9% off,4.3,"15,647 Ratings & 1,869 Reviews",Nano,Dual Sim,Smartphones,Yes,16.36 cm (6.44 inch),Yes,64MP + 8MP + 2MP,Yes,44MP Front Camera,256 GB,8 GB,1 TB,microSD,Dedicated Slot,4000 mAh
388,Redmi,Redmi Note 9 Pro Max,M2003J6B1I,"19,280","19,280",,4.4,"3,345 Ratings & 299 Reviews",Nano,Dual Sim,Smartphones,Yes,16.94 cm (6.67 inch),Yes,64MP + 8MP + 5MP + 2MP,Yes,32MP Front Camera,128 GB,6 GB,512 GB,MicroSD,Dedicated Slot,5020 mAh
389,Apple,iPhone 12,MGJC3HN/A,"84,900","84,900",,4.7,494 Ratings & 51 Reviews,Nano + eSIM,Dual Sim,Smartphones,Yes,15.49 cm (6.1 inch),Yes,12MP + 12MP,Yes,12MP Front Camera,128 GB,,,,,
390,Redmi,Redmi 9,M2006C3MII,"9,824","9,824",,4.2,"6,178 Ratings & 386 Reviews",Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP + 2MP,Yes,5MP Front Camera,64 GB,4 GB,,,Dedicated Slot,5000 mAh
391,Nokia,105,TA-1304 / TA-1203 / Nokia 105 SS,"1,240","1,240",,4,"25,156 Ratings & 2,359 Reviews",,Single Sim,Feature Phones,No,3.56 cm (1.4 inch),,,,,32 MB,,,,,850 mAh
392,Samsung,Guru FM Plus SM-B110E/D,SM-B110EZWDINS,"1,629","1,629",,4.3,"52,409 Ratings & 5,491 Reviews",Full Size SIM,Dual Sim,Feature Phones,No,3.81 cm (1.5 inch),No,,No,0MP Front Camera,NA,,,,,800 mAh
393,Apple,iPhone 12 Mini,MGE73HN/A,"74,900","74,900",,4.6,199 Ratings & 16 Reviews,Nano + eSIM,Dual Sim,Smartphones,Yes,13.72 cm (5.4 inch),Yes,12MP + 12MP,Yes,12MP Front Camera,128 GB,,,,,
394,Karbonn,K19 Rock,K19 Rock,"1,090",890,18% off,3.9,"2,060 Ratings & 191 Reviews",,Dual Sim,Feature Phones,No,4.57 cm (1.8 inch),Yes,0.3MP Rear Camera,,,32 MB,32 MB,16 GB,,Dedicated Slot,1750 mAh
395,Realme,X3 SuperZoom,RMX2085,"29,999","23,999",20% off,4.3,"4,114 Ratings & 476 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.69 cm (6.57 inch),Yes,64MP + 8MP + 8MP + 2MP,Yes,32MP + 8MP Dual Front Camera,128 GB,8 GB,,,,4200 mAh
396,OPPO,A5 2020,CPH1931,"11,969","11,969",,4.4,"2,691 Ratings & 216 Reviews",Dual Nano SIM,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,12MP + 8MP + 2MP + 2MP,Yes,8MP Front Camera,64 GB,3 GB,,,Dedicated Slot,5000 mAh
397,Kechaoda,K115,K115,949,949,,4.1,"16,531 Ratings & 1,484 Reviews",Micro SIM,Dual Sim,Feature Phones,No,3.66 cm (1.44 inch),,0.3MP Rear Camera,,,32 MB,32 MB,,,Dedicated Slot,850 mAh
398,Kechaoda,K115,K115,970,939,3% off,4.1,"16,531 Ratings & 1,484 Reviews",Micro SIM,Dual Sim,Feature Phones,No,3.66 cm (1.44 inch),Yes,0.3MP Rear Camera,,,32 MB,32 MB,,,Dedicated Slot,850 mAh
399,Kechaoda,K30,K30,"1,349",999,25% off,3.7,53 Ratings & 2 Reviews,Nano Sim,Dual Sim,Feature Phones,No,3.91 cm (1.54 inch),Yes,0.3MP + 0.3MP,No,,32 MB,32 MB,,Micro SD,Dedicated Slot,800 mAh
400,Good,Magic,Magic,"1,499","1,399",6% off,4,"1,515 Ratings & 136 Reviews",,Dual Sim,Feature Phones,No,4.32 cm (1.7 inch),,2MP Rear Camera,,,32 MB,32 MB,,,Dedicated Slot,1050 mAh
401,Good,Magic,Magic,"1,399","1,399",,4,"1,515 Ratings & 136 Reviews",MICRO,Dual Sim,Feature Phones,No,4.32 cm (1.7 inch),Yes,2MP Rear Camera,,,32 MB,32 MB,,Yes,Dedicated Slot,1050 mAh
402,Samsung,GALAXY M51,SM-M515FZBD / SM-M515FZBDINS,"26,945","26,945",,4.3,249 Ratings & 15 Reviews,,Dual Sim,Smartphones,Yes,17.02 cm (6.7 inch),,64MP Rear Camera,,,128 GB,6 GB,,,Dedicated Slot,7000 mAh
403,Panasonic,ELUGA I6,EB-90S54EL6K,"10,990","5,000",54% off,3.7,"7,620 Ratings & 807 Reviews",Nano + Micro,Dual Sim,Smartphones,Yes,13.84 cm (5.45 inch),Yes,8MP Rear Camera,Yes,5MP Front Camera,16 GB,2 GB,256 GB,,Dedicated Slot,3000 mAh
